Id,Raw DDOT - GFLOP/s,Raw WAXPBY - GFLOP/s,Raw SpMV - GFLOP/s,Raw MG - GFLOP/s,Raw Total - GFLOP/s,Total with convergence overhead - GFLOP/s,Total with convergence and optimization phase overhead - GFLOP/s,Optimization phase time (sec),Optimization phase time vs reference SpMV+MG time,Min DDOT MPI_Allreduce time,Max DDOT MPI_Allreduce time,Avg DDOT MPI_Allreduce time,Optimization phase - Execution Time (s),DDOT - Execution Time (s),WAXPBY - Execution Time (s),SpMV - Execution Time (s),MG - Execution Time (s),Total - Execution Time (s),Result - GFLOP/s
I32-REF-1,0.578619,2.15118,16.1478,1.85063,2.04465,1.92892,1.84625,2.82074e-07,5.51386e-05,0.00256925,0.00256925,0.00256925,2.82074e-07,0.61615,0.16573,0.188874,9.14295,10.1157,1.84625
I32-REF-2,0.793863,3.80457,22.6166,2.94725,3.22345,3.22345,3.10651,4.39002e-07,6.39661e-05,0.125734,0.28283,0.204282,4.39002e-07,0.648209,0.135255,0.196859,8.3846,9.36668,3.10651
I32-REF-4,0.267926,5.3959,12.6095,3.5255,3.2256,3.2256,3.12644,9.60799e-06,0.000354693,0.952617,1.88421,1.39308,9.60799e-06,2.36386,0.117374,0.439195,8.73259,11.6541,3.12644
I32-ZCY-1,0.693568,1.91576,17.0904,0.581727,0.69014,0.6274,0.616274,0.0235437,4.59865,0.00101323,0.00101323,0.00101323,0.0235437,0.172541,0.0624654,0.0598745,9.76533,10.0608,0.616274
I32-ZCY-2,0.653101,3.01591,17.5957,0.932256,1.08908,1.04719,1.03157,0.0263346,3.97344,0.074858,0.160984,0.117921,0.0263346,0.315086,0.0682325,0.101136,10.6029,11.088,1.03157
I32-ZCY-4,0.379762,5.23662,14.9174,1.52291,1.67986,1.64692,1.62356,0.0257678,1.5985,0.295374,0.724117,0.507889,0.0257678,0.850431,0.0616736,0.189263,10.31,11.4119,1.62356
I32-LWB-1,0.703497,2.06177,10.331,3.62545,3.66418,2.90808,2.719,0.00574921,1.13005,0.00291909,0.00291909,0.00291909,0.00574921,0.884996,0.301969,0.514543,8.15831,9.86262,2.719
I32-LWB-2,1.16284,4.12415,18.1091,5.77378,5.92526,5.02141,4.7037,0.00659551,0.99739,0.0542219,0.100038,0.0771299,0.00659551,0.822607,0.231942,0.456119,7.96402,9.4773,4.7037
I32-LWB-4,0.997022,5.76199,26.6111,8.76476,8.41435,7.13081,6.6834,0.00677381,0.612728,0.189559,0.919631,0.56519,0.00677381,1.49763,0.259142,0.489671,8.28965,10.5384,6.6834
I64-REF-1,0.838576,1.40105,6.46464,1.41112,1.57399,1.57399,1.51917,9.04407e-06,0.000162615,0.000966957,0.000966957,0.000966957,9.04407e-06,0.377628,0.226023,0.432889,11.0426,12.0802,1.51917
I64-REF-2,1.50971,2.83442,7.16066,2.69344,2.92618,2.92618,2.83028,9.618e-06,0.000159087,0.0263587,0.159734,0.0930465,9.618e-06,0.419511,0.223446,0.785738,11.6408,13.0705,2.83028
I64-REF-4,0.863543,5.34138,13.6872,4.89004,4.98502,4.98502,4.8312,1.99861e-05,0.00028114,0.24814,0.85873,0.535983,1.99861e-05,1.10013,0.177859,0.61985,9.67601,11.5747,4.8312
I64-ZCY-1,0.877697,1.39626,7.0068,1.88171,2.0512,2.01098,1.90532,0.237583,4.2437,0.00131136,0.00131136,0.00131136,0.237583,0.459956,0.289131,0.509031,10.5582,11.8183,1.90532
I64-ZCY-2,1.37218,2.72117,6.50092,2.85357,3.04793,3.04793,2.91713,0.245024,3.91522,0.0878291,0.181857,0.134843,0.245024,0.461557,0.232746,0.865477,10.9875,12.5484,2.91713
I64-ZCY-4,0.759108,5.08303,12.1337,4.77699,4.79078,4.60652,4.44447,0.251387,3.42611,0.217956,0.997919,0.609205,0.251387,1.30121,0.194325,0.726634,10.3012,12.5243,4.44447
I64-LWB-1,0.895302,1.45839,8.01216,4.71378,4.49811,3.81196,3.50426,0.043513,0.773771,0.0026536,0.0026536,0.0026536,0.043513,0.93813,0.575915,0.924559,8.77665,11.2178,3.50426
I64-LWB-2,1.37048,2.8594,8.00693,4.70127,4.7467,3.95558,3.77024,0.0543379,0.903819,0.0944426,0.142235,0.118339,0.0543379,0.692428,0.331874,1.05059,10.0038,12.0801,3.77024
I64-LWB-4,0.626049,5.27277,15.2381,6.96648,6.37715,5.49754,5.30171,0.0480833,0.683871,0.0513294,1.43041,0.740089,0.0480833,1.75866,0.208809,0.644099,7.87867,10.4911,5.30171
I128-REF-1,0.869737,1.12546,6.38368,1.37604,1.53234,1.53234,1.48115,2.52994e-06,4.95582e-06,0.000435123,0.000435123,0.000435123,2.52994e-06,0.728197,0.562739,0.890674,23.0631,25.2478,1.48115
I128-REF-2,1.36543,2.07403,7.14535,2.74789,2.94981,2.94981,2.85028,8.85804e-06,1.66708e-05,0.153565,0.297551,0.225558,8.85804e-06,0.927676,0.610734,1.59563,23.1681,26.306,2.85028
I128-REF-4,0.61977,4.20773,13.9688,5.00713,4.88878,4.88878,4.74195,2.15205e-06,3.3992e-06,0.779601,3.30255,2.05206,2.15205e-06,4.08758,0.602073,1.63667,25.5058,31.8362,4.74195
I128-ZCY-1,0.86941,1.15085,6.43634,3.77736,3.66125,3.58946,3.25294,2.11021,4.31292,0.000475716,0.000475716,0.000475716,2.11021,0.742944,0.561259,0.900709,8.56959,10.7776,3.25294
I128-ZCY-2,1.2668,2.01017,5.98086,5.58393,5.19355,4.89958,4.56701,2.28279,4.23283,0.242022,0.299227,0.270624,2.28279,1.0595,0.667694,2.01844,12.0852,15.8349,4.56701
I128-ZCY-4,0.834377,4.14166,10.0729,8.54531,7.45895,7.03675,6.66986,2.28133,3.5265,0.282404,2.39697,1.29778,2.28133,3.2172,0.648135,2.4032,15.8419,22.1143,6.66986
I128-LWB-1,0.879748,1.16993,7.02422,3.34409,3.34509,2.61335,2.46236,0.363549,0.743096,0.000531785,0.000531785,0.000531785,0.363549,0.92015,0.691922,1.03166,12.1473,14.794,2.46236
I128-LWB-2,1.3361,2.02291,8.05725,3.80368,3.932,2.97878,2.8758,0.407811,0.72323,0.203292,0.207713,0.205503,0.407811,1.2494,0.825212,1.85897,22.0932,26.0306,2.8758
I128-LWB-4,0.536324,4.13858,14.7342,5.72475,5.32919,4.03727,3.92728,0.409446,0.613416,0.188917,5.17041,2.65858,0.409446,6.22509,0.806717,2.03845,29.4473,38.522,3.92728
I256-REF-1,0.838208,1.01688,6.62722,1.39592,1.54921,1.54921,1.49788,7.75699e-06,1.9856e-06,0.000531901,0.000531901,0.000531901,7.75699e-06,6.04471,4.98261,6.9176,183.532,201.505,1.49788
I256-REF-2,1.47169,2.01622,7.22436,2.65247,2.86654,2.86654,2.77218,1.0165e-05,2.37044e-06,0.637256,4.52588,2.58157,1.0165e-05,6.88559,5.02595,12.7082,193.466,218.115,2.77218
I256-REF-4,0.801137,4.0475,13.3634,4.87912,4.91541,4.91541,4.76292,2.50794e-06,5.09268e-07,1.64158,21.3245,11.2838,2.50794e-06,25.2976,5.00726,13.7583,210.667,254.762,4.76292
I256-ZCY-1,0.843297,1.04906,5.99343,5.50288,4.79741,4.44205,3.94201,19.44,4.90386,0.000540063,0.000540063,0.000540063,19.44,6.4857,5.21362,8.24904,50.281,70.2606,3.94201
I256-ZCY-2,1.31971,1.99056,5.94053,7.1135,6.2282,5.87566,5.3913,22.5143,5.21944,1.17243,1.45255,1.31249,22.5143,8.13622,5.39417,16.3637,76.4675,106.393,5.3913
